db,policy_set,baseline,query_id,status,cold_ms,hot_ms,hot_peak_rss_kb,count,count_err,error_type,error_msg,policy_profile_lines,policy_ms,executor_ms,scan_mode,setup_ms,pre_run_memory_building_ms,disk_bytes
tpch0_1,S_F,rls_index,11,1,30.629977118223906,30.517482198774815,24728,0,,,,0,,,,4979.202982969582,4908.078879117966,108052480
tpch0_1,S_F,ours,1,1,1356.5287319943309,1265.7703971490264,282312,4,,,,1,,,,5040.973838884383,4977.941346820444,55108374
tpch0_1,S_F,ours,3,0,151.59200504422188,0.0,0,1153,,db_error,ERROR:  policy: column not found in artifacts: orders.o_orderdate,0,,,,5040.973838884383,4977.941346820444,55108374
tpch0_1,S_F,ours,6,1,513.0979930981994,422.34531976282597,283076,1,,,,1,,,,5040.973838884383,4977.941346820444,55108374
tpch0_1,S_F,ours,10,0,151.64015721529722,0.0,0,3845,,db_error,ERROR:  policy: column not found in artifacts: orders.o_orderdate,0,,,,5040.973838884383,4977.941346820444,55108374
tpch0_1,S_F,ours,11,1,241.898603271693,211.4948402158916,114780,0,,,,1,,,,5040.973838884383,4977.941346820444,55108374
tpch0_1,S_G,rls_index,1,1,3223.6062083393335,3192.9906592704356,155236,3,,,,0,,,,5064.677048008889,4983.279879204929,97665024
tpch0_1,S_G,rls_index,3,1,30.888631008565426,30.69383930414915,21500,0,,,,0,,,,5064.677048008889,4983.279879204929,97665024
tpch0_1,S_G,rls_index,6,1,2199.1138039156795,2168.879597913474,151984,1,,,,0,,,,5064.677048008889,4983.279879204929,97665024
tpch0_1,S_G,rls_index,10,1,30.702617950737476,30.36729898303747,28340,0,,,,0,,,,5064.677048008889,4983.279879204929,97665024
tpch0_1,S_G,rls_index,11,1,30.55573021993041,30.605453997850418,22696,0,,,,0,,,,5064.677048008889,4983.279879204929,97665024
tpch0_1,S_G,ours,1,0,1236.2916502170265,0.0,0,4,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,5639.601095113903,5576.66838215664,61047020
tpch0_1,S_G,ours,3,0,1236.2787849269807,0.0,0,1153,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,5639.601095113903,5576.66838215664,61047020
tpch0_1,S_G,ours,6,0,1236.1979489214718,0.0,0,1,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,5639.601095113903,5576.66838215664,61047020
tpch0_1,S_G,ours,10,0,1416.9923500157893,0.0,0,3845,,db_error,ERROR:  policy: column not found in artifacts: orders.o_orderdate,0,,,,5639.601095113903,5576.66838215664,61047020
tpch0_1,S_G,ours,11,1,1326.5614341944456,1296.086363028735,120304,0,,,,1,,,,5639.601095113903,5576.66838215664,61047020
