baseline,K,query_id,trial_type,trial_idx,elapsed_ms,mem_peak_mb,mem_delta_mb,status,error_type,error_msg
rls_with_index,10,5,cold,0,121.796,17.742,1.750,ok,,
rls_with_index,10,5,hot,1,121.253,17.961,1.531,ok,,
rls_with_index,10,5,hot,2,121.567,17.961,1.531,ok,,
rls_with_index,10,5,hot,3,121.614,17.742,1.312,ok,,
rls_with_index,10,5,hot,4,121.707,17.961,1.531,ok,,
rls_with_index,10,5,hot,5,121.518,17.305,1.094,ok,,
rls_with_index,10,6,cold,0,121.563,17.961,1.531,ok,,
rls_with_index,10,6,hot,1,121.626,17.742,1.531,ok,,
rls_with_index,10,6,hot,2,121.309,18.398,1.969,ok,,
rls_with_index,10,6,hot,3,121.656,17.961,1.531,ok,,
rls_with_index,10,6,hot,4,101.225,18.180,1.969,ok,,
rls_with_index,10,6,hot,5,101.099,17.965,1.969,ok,,
rls_with_index,10,7,cold,0,20.277,16.211,0.000,ok,,
rls_with_index,10,7,hot,1,20.323,16.430,0.219,ok,,
rls_with_index,10,7,hot,2,20.431,16.211,0.000,ok,,
rls_with_index,10,7,hot,3,20.438,15.992,0.000,ok,,
rls_with_index,10,7,hot,4,20.450,16.211,0.000,ok,,
rls_with_index,10,7,hot,5,20.478,16.430,0.219,ok,,
rls_with_index,10,8,cold,0,20.415,16.430,0.000,ok,,
rls_with_index,10,8,hot,1,20.506,16.430,0.219,ok,,
rls_with_index,10,8,hot,2,20.460,16.211,0.000,ok,,
rls_with_index,10,8,hot,3,20.446,15.992,0.219,ok,,
rls_with_index,10,8,hot,4,20.418,15.992,0.000,ok,,
rls_with_index,10,8,hot,5,20.424,16.211,0.000,ok,,
rls_no_index,10,1,cold,0,20.412,16.211,0.000,ok,,
rls_no_index,10,1,hot,1,20.409,16.430,0.219,ok,,
rls_no_index,10,1,hot,2,20.490,16.211,0.219,ok,,
rls_no_index,10,1,hot,3,20.423,15.992,0.000,ok,,
rls_no_index,10,1,hot,4,20.447,16.430,0.219,ok,,
rls_no_index,10,1,hot,5,20.398,15.773,0.219,ok,,
rls_no_index,10,2,cold,0,20.472,16.430,0.000,ok,,
rls_no_index,10,2,hot,1,20.475,16.211,0.000,ok,,
rls_no_index,10,2,hot,2,20.435,16.301,0.219,ok,,
rls_no_index,10,2,hot,3,20.478,16.211,0.000,ok,,
rls_no_index,10,2,hot,4,20.409,16.211,0.000,ok,,
rls_no_index,10,2,hot,5,20.399,16.430,0.000,ok,,
rls_no_index,10,3,cold,0,20.295,16.211,0.000,ok,,
rls_no_index,10,3,hot,1,20.336,16.211,0.000,ok,,
rls_no_index,10,3,hot,2,20.351,16.430,0.219,ok,,
rls_no_index,10,3,hot,3,20.466,16.430,0.000,ok,,
rls_no_index,10,3,hot,4,20.340,16.211,0.000,ok,,
rls_no_index,10,3,hot,5,20.387,16.430,0.000,ok,,
rls_no_index,10,4,cold,0,40.722,36.117,19.906,ok,,
rls_no_index,10,4,hot,1,20.359,16.211,0.000,ok,,
rls_no_index,10,4,hot,2,20.290,16.430,0.000,ok,,
rls_no_index,10,4,hot,3,20.268,16.211,0.000,ok,,
rls_no_index,10,4,hot,4,20.323,16.430,0.219,ok,,
rls_no_index,10,4,hot,5,20.327,15.992,0.000,ok,,
rls_no_index,10,5,cold,0,121.190,17.742,1.531,ok,,
rls_no_index,10,5,hot,1,121.521,17.961,1.750,ok,,
rls_no_index,10,5,hot,2,121.643,17.961,1.531,ok,,
rls_no_index,10,5,hot,3,121.732,17.961,1.531,ok,,
rls_no_index,10,5,hot,4,121.686,17.961,1.531,ok,,
rls_no_index,10,5,hot,5,121.533,19.930,3.719,ok,,
rls_no_index,10,6,cold,0,121.658,18.180,1.969,ok,,
rls_no_index,10,6,hot,1,121.693,19.711,3.281,ok,,
rls_no_index,10,6,hot,2,121.689,19.055,2.844,ok,,
rls_no_index,10,6,hot,3,121.594,18.617,2.188,ok,,
rls_no_index,10,6,hot,4,121.412,18.398,2.188,ok,,
rls_no_index,10,6,hot,5,121.537,17.961,1.531,ok,,
rls_no_index,10,7,cold,0,20.337,16.430,0.000,ok,,
rls_no_index,10,7,hot,1,20.399,16.430,0.000,ok,,
rls_no_index,10,7,hot,2,20.460,16.430,0.000,ok,,
rls_no_index,10,7,hot,3,20.505,16.430,0.219,ok,,
rls_no_index,10,7,hot,4,20.447,15.992,0.000,ok,,
rls_no_index,10,7,hot,5,20.333,16.211,0.000,ok,,
rls_no_index,10,8,cold,0,9311.993,47.930,31.719,ok,,
rls_no_index,10,8,hot,1,9393.610,48.586,32.375,ok,,
rls_no_index,10,8,hot,2,9309.620,48.586,32.156,ok,,
rls_no_index,10,8,hot,3,9351.758,48.586,32.594,ok,,
rls_no_index,10,8,hot,4,9345.957,48.367,32.594,ok,,
rls_no_index,10,8,hot,5,9314.133,49.461,33.031,ok,,
nopolicy,15,1,cold,0,20.456,16.430,0.000,ok,,
nopolicy,15,1,hot,1,20.429,16.211,0.219,ok,,
nopolicy,15,1,hot,2,20.428,16.430,0.219,ok,,
nopolicy,15,1,hot,3,20.422,16.211,0.000,ok,,
nopolicy,15,1,hot,4,20.625,15.992,0.000,ok,,
nopolicy,15,1,hot,5,20.498,16.211,0.000,ok,,
