db,policy_set,policy_ids,query_id,status,error_type,error_msg,hub_ms,stamp_ms,propagate_ms,bin_ms,sig_ms,sat_ms,decode_ms,filter_ms,policy_profile_query_line,policy_profile_line
tpch0_1,S_E,"21,22,23,24,25",11,1,,,0.250,0.004,0.000,0.001,0.030,0.001,0.122,42.515,policy_profile_query: hub_ms=0.250 stamp_ms=0.004 propagate_ms=0.000 bin_ms=0.001 sig_ms=0.030 sat_ms=0.001 decode_ms=0.122,policy_profile: filter_ms=42.515
tpch0_1,S_E,"21,22,23,24,25",13,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: filter_ms=0.000
tpch0_1,S_E,"21,22,23,24,25",22,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: filter_ms=0.000
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",1,1,,,160.280,252.607,3.487,0.274,135.344,0.072,27.112,315.685,policy_profile_query: hub_ms=160.280 stamp_ms=252.607 propagate_ms=3.487 bin_ms=0.274 sig_ms=135.344 sat_ms=0.072 decode_ms=27.112,policy_profile: filter_ms=315.685
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",3,1,,,156.767,247.622,2.143,0.260,142.601,0.121,26.940,215.426,policy_profile_query: hub_ms=156.767 stamp_ms=247.622 propagate_ms=2.143 bin_ms=0.260 sig_ms=142.601 sat_ms=0.121 decode_ms=26.940,policy_profile: filter_ms=215.426
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",6,1,,,214.927,221.619,0.319,0.271,118.409,0.099,21.522,79.988,policy_profile_query: hub_ms=214.927 stamp_ms=221.619 propagate_ms=0.319 bin_ms=0.271 sig_ms=118.409 sat_ms=0.099 decode_ms=21.522,policy_profile: filter_ms=79.988
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",10,1,,,155.831,244.618,1.096,0.245,139.033,0.103,29.132,142.665,policy_profile_query: hub_ms=155.831 stamp_ms=244.618 propagate_ms=1.096 bin_ms=0.245 sig_ms=139.033 sat_ms=0.103 decode_ms=29.132,policy_profile: filter_ms=142.665
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",11,1,,,102.214,1.346,0.124,0.001,0.067,0.002,0.545,46.561,policy_profile_query: hub_ms=102.214 stamp_ms=1.346 propagate_ms=0.124 bin_ms=0.001 sig_ms=0.067 sat_ms=0.002 decode_ms=0.545,policy_profile: filter_ms=46.561
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",13,1,,,0.616,0.000,0.000,0.000,0.000,0.000,0.000,70.925,policy_profile_query: hub_ms=0.616 stamp_ms=0.000 propagate_ms=0.000 bin_ms=0.000 sig_ms=0.000 sat_ms=0.000 decode_ms=0.000,policy_profile: filter_ms=70.925
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",22,1,,,0.623,0.000,0.000,0.000,0.000,0.000,0.000,33.927,policy_profile_query: hub_ms=0.623 stamp_ms=0.000 propagate_ms=0.000 bin_ms=0.000 sig_ms=0.000 sat_ms=0.000 decode_ms=0.000,policy_profile: filter_ms=33.927
