run_id,ts,db,K,policy_ids,baseline,query_id,warmup_runs,timed_runs,planning_ms,execution_ms,total_ms,peak_rss_mb,status,error_type,error_msg,result_count,ours_count,rls_count,correctness
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,21,0,1,0.725,174257.068,174257.793,325.922,ok,,,42,42,42,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,21,0,1,0.604,846.468,847.072,211.688,ok,,,42,42,42,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,22,0,1,0.187,62.537,62.724,249.555,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:26:55+05:30,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,22,0,1,0.529,0.979,1.508,206.977,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,1,0,1,1.313,1104.781,1106.094,166.453,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,1,0,1,3.788,922.527,926.315,229.883,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,2,0,1,0.930,527.647,528.577,175.684,ok,,,41,41,41,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,2,0,1,0.649,481.293,481.942,232.004,ok,,,41,41,41,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,3,0,1,0.864,795.286,796.150,249.184,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,3,0,1,3.067,0.174,3.241,232.004,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,4,0,1,0.674,765.132,765.806,266.305,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,4,0,1,2.706,1186.804,1189.510,237.004,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,5,0,1,1.166,761.269,762.435,266.348,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,5,0,1,3.677,0.192,3.869,241.004,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,6,0,1,0.771,831.513,832.284,266.191,ok,,,1691,1691,1691,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,6,0,1,1.486,685.159,686.645,241.004,ok,,,1691,1691,1691,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,7,0,1,0.384,814.664,815.048,266.215,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,7,0,1,3.472,0.171,3.643,238.629,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,8,0,1,0.477,787.093,787.570,266.223,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:33:23+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,8,0,1,3.503,0.607,4.110,240.129,ok,,,0,0,0,1
